"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50","sp51","sp52","sp53","sp54","sp55","sp56","sp57","sp58","sp59","sp60","sp61","sp62","sp63","sp64","sp65","sp66","sp67","sp68","sp69","sp70","sp71","sp72","sp73","sp74","sp75","sp76","sp77","sp78","sp79","sp80","sp81","sp82","sp83","sp84","sp85","sp86","sp87","sp88","sp89","sp90","sp91","sp92","sp93","sp94","sp95","sp96","sp97","sp98","sp99","sp100"
"Sbj21_Time2",2,21,84,14,35,67,12,19,33,10,54,64,66,10,30,9,14,43,49,66,13,11,19,15,59,19,19,38,139,59,14,24,17,49,16,24,23,17,42,59,82,80,9,34,14,15,16,30,14,96,23,38,27,36,12,14,44,25,15,19,55,19,17,71,45,13,60,12,53,17,26,11,87,13,70,10,32,13,25,21,71,31,34,20,10,9,25,75,89,23,14,15,47,9,54,57,11,15,31,17,83,96
"Sbj22_Time2",2,22,18,28,18,27,61,58,13,44,13,25,18,13,43,20,37,34,34,19,13,35,17,52,14,22,14,21,48,16,10,42,34,16,14,25,37,24,16,24,23,32,15,50,15,10,12,33,20,16,40,24,30,22,45,31,14,16,33,12,29,16,13,19,16,48,34,16,20,19,21,46,16,28,62,60,35,11,22,35,27,9,51,56,8,41,38,23,64,63,12,30,15,16,56,10,26,30,15,16,57,13
"Sbj23_Time2",2,23,12,10,18,14,15,46,29,8,20,14,30,17,29,12,12,45,42,23,8,34,48,11,12,31,14,29,17,21,19,12,13,16,17,25,25,13,17,14,17,16,13,33,23,15,16,42,19,38,14,20,31,20,13,25,21,41,14,29,28,23,5,19,16,25,27,14,13,19,11,17,30,14,16,34,22,23,10,25,19,20,16,17,25,27,14,27,20,23,14,34,25,14,19,18,16,23,17,30,42,38
"Sbj24_Time2",2,24,15,15,22,68,34,12,34,49,24,55,47,13,41,43,49,46,25,11,25,9,14,15,56,72,20,60,10,7,22,15,25,15,41,11,18,46,39,64,49,26,28,54,54,24,36,11,26,15,49,9,28,15,45,9,15,14,17,14,47,23,29,13,18,13,36,13,12,60,38,24,10,17,44,64,34,27,20,14,34,20,14,62,40,30,14,69,44,20,28,26,39,13,15,26,16,44,31,23,7,17
"Sbj25_Time2",2,25,15,21,14,12,28,29,27,25,38,14,10,14,15,16,17,28,40,33,27,32,18,30,30,17,24,31,29,16,24,13,33,19,12,19,20,18,8,15,11,19,15,37,15,30,18,16,14,19,26,30,19,21,38,11,20,18,32,36,32,33,43,47,13,16,14,44,38,15,22,14,29,29,28,38,36,22,38,15,14,25,19,14,10,8,29,10,36,40,39,16,12,31,34,40,19,35,49,29,36,19
"Sbj26_Time2",2,26,25,15,29,21,50,48,19,22,45,12,42,42,24,46,36,18,19,21,25,46,26,13,38,34,38,16,14,14,36,19,36,47,12,11,14,28,17,11,45,10,18,16,18,29,15,42,41,55,7,34,16,57,34,6,12,34,21,16,17,15,29,69,23,18,18,13,11,43,12,42,25,19,24,26,17,20,14,34,15,29,12,29,20,34,26,46,13,13,19,58,45,15,29,9,16,19,11,28,45,57
"Sbj27_Time2",2,27,57,10,33,8,75,15,29,30,52,34,12,17,14,51,15,49,15,8,14,47,26,18,11,43,12,11,22,15,21,9,42,11,15,20,14,13,7,14,36,41,15,23,24,35,8,29,57,32,16,14,22,12,25,12,12,40,11,49,11,8,37,34,12,11,23,57,37,23,15,14,10,16,18,9,13,56,52,11,29,55,36,6,40,30,13,46,43,20,24,44,33,25,40,46,16,29,29,18,26,7
"Sbj28_Time2",2,28,23,38,12,20,25,10,18,21,18,17,28,10,43,15,38,23,13,48,25,41,18,18,9,61,13,26,15,37,15,11,14,26,37,32,16,32,39,16,27,21,17,27,13,16,10,31,13,23,33,54,45,16,54,10,46,15,19,27,21,42,14,38,26,15,13,10,21,46,16,13,30,55,8,10,13,14,13,23,26,27,19,23,14,51,16,53,15,40,10,18,20,14,17,34,20,10,15,14,23,20
"Sbj29_Time2",2,29,24,31,29,24,18,22,16,16,20,15,12,23,17,20,23,15,15,31,18,18,33,17,26,21,16,14,12,22,19,18,13,20,20,24,26,10,15,18,15,16,33,25,21,21,11,17,19,26,33,14,24,21,22,15,27,24,24,15,24,19,14,36,17,15,22,29,14,23,18,24,26,11,34,7,39,13,24,22,30,21,14,15,19,27,38,20,19,13,41,25,22,12,9,24,25,14,22,22,12,15
"Sbj3_Time2",2,3,28,37,39,21,11,9,13,36,12,37,14,22,46,18,15,38,20,18,13,18,36,29,55,16,20,23,9,25,47,9,35,34,34,14,16,17,12,13,10,33,22,21,18,31,11,25,32,15,19,23,42,17,38,31,15,40,31,30,23,19,14,12,35,37,7,17,17,27,8,20,33,31,12,11,41,21,14,24,22,29,19,8,24,15,25,14,20,21,28,19,38,24,11,34,24,25,32,35,31,20
"Sbj30_Time2",2,30,17,8,30,59,27,42,11,26,24,20,32,22,34,14,46,14,26,12,34,43,33,45,21,32,50,34,16,18,10,12,20,29,36,16,23,9,16,40,54,18,17,16,14,34,32,32,17,22,29,12,19,18,22,13,31,16,14,21,37,39,14,24,49,12,58,42,18,20,14,37,21,36,8,14,15,19,15,21,33,15,47,36,16,47,46,35,40,25,28,55,17,21,15,37,16,11,11,24,19,13
"Sbj31_Time2",2,31,12,21,22,14,13,12,14,22,16,12,37,12,18,20,23,37,20,17,20,22,39,7,16,30,13,20,18,32,33,37,16,30,18,16,22,16,36,38,11,12,40,31,33,36,25,38,11,15,17,33,31,12,40,26,18,11,15,24,15,14,43,36,49,10,16,8,25,8,21,28,37,30,14,27,32,26,10,16,38,11,9,12,26,12,16,44,17,11,13,24,32,14,32,17,15,15,11,28,12,24
"Sbj32_Time2",2,32,36,45,19,51,14,74,42,6,13,53,22,29,21,34,14,17,47,21,44,16,21,14,24,14,7,66,47,60,19,18,50,24,37,33,14,7,32,14,29,18,18,9,60,54,17,10,31,28,44,16,17,14,23,47,12,9,27,32,57,15,31,34,9,26,39,73,26,46,11,12,15,40,17,15,26,20,39,35,13,14,23,9,17,9,20,41,13,13,10,22,22,11,15,17,21,13,20,54,28,18
"Sbj33_Time2",2,33,24,18,38,34,12,14,53,33,13,21,40,14,11,22,13,40,18,13,73,35,29,12,14,14,36,30,40,14,26,31,32,50,22,12,11,25,15,23,30,27,30,19,17,20,9,27,18,32,51,26,52,21,13,62,13,29,13,11,10,29,18,39,35,17,12,22,59,15,24,26,36,33,16,24,15,29,63,16,15,19,15,47,16,31,51,25,21,33,25,30,28,13,16,19,16,15,17,68,33,12
"Sbj34_Time2",2,34,17,14,13,14,19,18,58,18,18,20,23,13,33,12,15,21,12,46,16,12,51,12,21,65,17,24,34,14,25,31,20,34,20,25,19,17,56,19,21,16,32,22,17,18,28,32,17,31,37,20,18,16,31,21,38,40,14,43,42,40,16,26,15,24,27,24,15,18,14,12,20,33,11,37,19,32,25,18,22,17,25,30,13,17,27,45,15,14,19,27,34,9,49,10,24,14,47,34,10,26
"Sbj35_Time2",2,35,11,18,23,28,12,41,39,31,33,49,14,17,24,22,35,13,29,20,32,33,36,27,13,15,8,11,23,34,13,34,49,14,12,31,33,22,27,33,35,15,19,26,35,11,33,28,10,13,20,34,9,29,35,14,31,11,11,18,14,23,22,35,27,20,33,17,21,25,17,17,27,46,45,12,33,11,16,19,18,14,34,13,44,17,25,16,19,30,22,11,23,24,51,22,17,31,22,16,14,7
"Sbj36_Time2",2,36,37,21,18,11,18,26,20,15,8,8,18,15,31,45,40,34,16,15,45,21,46,33,27,15,43,43,21,55,27,13,36,43,24,11,15,11,29,15,15,13,6,15,17,31,27,13,13,22,12,12,21,34,17,24,24,60,20,16,13,41,44,43,5,11,12,41,33,25,43,14,20,33,14,20,17,64,19,17,35,10,24,16,21,34,15,31,35,18,23,23,14,41,17,15,21,23,58,30,12,13
"Sbj37_Time2",2,37,17,17,20,20,34,23,23,25,16,15,18,35,30,14,12,23,30,22,13,18,9,15,22,23,23,18,22,15,31,18,13,19,27,0,13,15,25,15,40,11,8,22,14,28,18,32,13,14,8,24,13,17,40,26,36,15,40,12,25,30,21,21,30,32,15,23,42,16,36,20,18,10,27,16,16,24,16,16,22,18,11,27,22,13,13,28,18,20,20,21,16,12,17,5,11,27,29,19,11,19
"Sbj38_Time2",2,38,26,30,9,19,15,16,15,34,25,13,43,24,31,38,13,39,28,15,16,35,9,8,42,42,16,15,13,10,9,10,35,30,37,11,50,24,11,23,40,32,12,9,35,35,16,24,13,28,52,13,28,11,61,30,33,20,20,17,18,51,26,10,15,23,12,52,40,23,14,28,19,14,25,18,30,18,37,31,32,16,55,19,22,17,13,44,14,15,16,16,40,13,15,14,19,28,20,45,19,17
"Sbj39_Time2",2,39,18,10,15,62,17,39,45,25,16,10,27,43,27,55,32,32,42,11,19,46,39,15,48,15,50,70,23,56,14,15,12,16,15,14,15,14,14,41,10,13,7,17,29,34,37,18,59,17,39,16,11,24,37,44,36,12,70,39,34,53,18,50,38,25,31,27,14,15,16,31,12,23,48,18,28,43,22,24,30,20,10,8,8,13,20,45,54,58,26,18,9,7,9,23,20,48,14,44,37,24
"Sbj4_Time2",2,4,30,35,16,23,55,21,10,17,9,15,36,43,59,24,27,40,12,24,9,33,50,45,14,39,97,12,39,23,35,53,7,20,16,30,48,20,11,14,36,40,71,18,22,10,17,28,20,45,17,15,35,14,59,45,55,42,16,27,24,19,18,15,16,56,17,12,41,49,44,12,46,46,15,11,33,41,39,16,40,14,47,17,18,43,16,26,28,19,39,13,56,38,19,60,60,26,16,22,15,53
"Sbj40_Time2",2,40,49,32,12,26,28,19,34,16,23,16,13,13,34,28,14,12,16,43,25,12,13,15,11,34,38,38,49,24,28,24,16,36,36,13,12,9,26,43,27,29,17,28,27,21,29,16,15,13,15,36,38,11,12,35,13,24,15,9,17,31,42,58,34,37,16,31,37,33,38,24,48,17,6,13,24,23,26,19,32,17,25,18,12,23,27,25,17,15,21,6,28,12,32,44,45,18,13,29,23,7
"Sbj41_Time2",2,41,12,27,15,47,18,23,18,24,33,47,20,45,13,24,17,13,12,21,25,25,29,22,47,11,10,19,44,22,32,17,26,20,18,26,37,11,14,29,22,33,34,18,23,16,30,4,23,10,17,22,41,32,17,26,37,14,17,29,19,29,17,17,13,24,44,13,9,11,38,18,25,18,12,18,16,25,25,28,22,31,28,16,17,21,11,15,34,37,23,43,11,40,18,23,44,33,14,28,20,27
"Sbj42_Time2",2,42,10,13,22,35,19,33,21,10,21,27,19,15,28,16,41,17,14,37,11,34,18,12,28,17,14,10,24,20,24,31,23,27,18,35,18,19,19,14,28,17,18,17,14,12,28,23,18,33,14,16,30,31,15,12,20,19,37,22,20,30,11,11,7,34,34,18,36,12,28,12,31,21,27,27,17,45,23,24,47,15,18,21,17,21,9,25,11,12,34,10,28,22,48,15,30,36,16,11,34,14
"Sbj43_Time2",2,43,28,11,26,15,39,18,35,19,13,31,13,25,8,12,22,46,40,60,38,36,72,15,14,38,29,12,30,14,45,22,12,13,26,14,47,58,37,52,15,35,20,33,8,17,56,32,38,56,15,29,16,37,15,16,21,51,9,10,16,38,10,18,71,9,17,18,37,12,14,46,14,18,12,25,49,16,58,18,14,11,32,14,12,46,37,19,46,45,11,10,45,42,29,33,46,34,10,17,52,20
"Sbj44_Time2",2,44,38,15,11,48,20,24,17,41,22,9,23,25,54,25,34,11,22,12,9,52,18,45,20,20,39,19,18,10,15,39,10,44,40,13,26,45,34,14,20,9,25,10,28,17,64,22,60,20,19,38,54,13,16,68,31,25,17,11,27,40,29,39,53,16,26,19,30,42,41,41,39,15,7,15,16,24,19,36,17,38,26,18,11,16,26,26,29,40,22,12,8,16,33,41,39,11,34,13,13,17
"Sbj45_Time2",2,45,15,18,17,16,12,33,17,54,48,18,16,35,17,17,22,18,37,22,17,12,23,13,28,14,29,16,21,25,13,61,19,56,34,32,14,10,22,9,39,16,24,20,11,17,23,41,22,29,12,44,11,9,20,33,6,11,25,26,14,17,42,9,10,7,25,29,25,31,49,15,11,29,20,34,28,50,16,15,32,15,18,18,39,11,23,54,9,22,14,17,13,39,17,19,35,14,10,15,22,24
"Sbj46_Time2",2,46,13,17,27,13,20,16,10,30,27,16,21,37,29,33,25,30,20,13,14,14,14,29,21,33,45,19,40,24,58,17,21,12,12,28,51,17,34,24,12,30,17,17,33,7,33,24,30,9,17,17,29,11,19,30,18,12,15,22,12,11,33,31,16,34,22,35,30,27,23,27,16,27,13,26,9,21,28,10,19,13,35,22,17,21,35,21,11,25,29,24,19,11,15,38,25,18,29,12,10,20
"Sbj47_Time2",2,47,16,44,14,23,8,16,39,12,8,34,26,11,11,64,14,27,51,11,20,35,18,55,10,41,33,56,17,12,6,26,21,15,30,26,66,33,14,21,25,23,26,17,26,17,11,8,41,9,22,42,50,67,13,55,18,9,5,21,23,12,35,48,62,17,30,17,26,56,31,23,12,54,23,17,28,42,26,45,11,36,57,77,12,28,21,20,77,24,49,11,25,16,31,16,36,21,35,51,33,39
"Sbj48_Time2",2,48,61,37,44,13,115,103,22,104,15,20,140,15,79,14,60,50,46,59,41,26,18,14,12,17,14,12,73,85,40,13,85,14,86,10,19,10,12,80,38,76,67,125,91,10,12,14,75,15,20,30,65,12,18,24,19,123,91,88,152,15,12,75,54,18,13,56,31,61,46,19,47,83,52,15,13,15,27,89,16,117,89,12,21,27,16,28,57,16,12,9,131,72,15,12,19,49,102,79,83,73
"Sbj49_Time2",2,49,16,19,14,18,14,28,36,36,41,14,12,14,34,53,18,68,41,35,17,33,41,26,22,19,32,18,49,14,9,25,5,47,21,38,22,38,77,40,39,18,41,16,18,18,55,13,34,54,26,25,13,11,17,41,12,42,26,42,27,11,30,18,13,13,51,16,25,23,48,17,32,19,48,42,12,6,10,13,9,13,42,12,50,22,29,24,10,20,30,59,59,56,11,17,13,14,14,48,21,34
"Sbj5_Time2",2,5,13,58,14,31,11,18,34,16,21,13,15,15,21,15,24,22,26,11,11,16,19,20,18,15,33,8,25,23,31,19,13,12,11,21,22,22,23,15,49,11,36,17,21,31,23,12,35,42,23,31,15,31,15,24,32,7,15,40,35,12,18,14,14,15,31,31,13,22,16,30,12,11,11,22,22,22,17,12,29,28,19,11,25,48,31,30,23,28,25,17,32,27,22,30,18,21,16,19,26,26
"Sbj50_Time2",2,50,33,28,27,34,47,40,39,12,25,10,11,23,31,26,17,26,14,28,19,36,17,14,32,28,17,19,20,17,13,25,24,14,32,11,16,26,11,24,12,17,16,13,37,12,21,21,17,21,34,20,28,17,22,11,25,35,14,20,14,39,46,18,26,42,13,12,19,9,14,12,42,13,10,26,40,21,33,18,33,19,15,22,23,11,16,13,18,16,16,16,24,35,41,11,36,14,18,26,39,50
"Sbj51_Time2",2,51,65,48,16,10,39,120,12,42,70,57,12,6,43,30,19,56,30,12,26,44,23,30,20,11,41,14,63,12,76,69,39,25,14,30,26,32,26,41,34,78,44,16,22,19,37,22,45,13,58,54,15,39,15,74,52,18,10,20,17,12,25,18,52,22,36,50,36,54,21,41,14,44,45,61,15,12,61,75,33,10,14,34,32,13,20,21,37,49,53,13,9,13,15,39,17,71,19,24,13,12
"Sbj52_Time2",2,52,13,45,15,35,27,51,38,18,13,41,36,37,21,33,16,16,16,50,46,59,17,62,23,22,34,42,12,12,37,25,13,20,44,44,18,16,40,10,16,20,14,9,36,45,39,15,16,17,14,26,27,16,41,24,17,60,11,42,63,12,62,27,44,58,6,25,53,17,12,32,11,29,13,32,31,12,14,15,15,19,11,22,30,51,28,9,40,18,12,31,31,13,18,12,49,41,12,37,7,34
"Sbj53_Time2",2,53,34,27,24,25,20,25,16,28,13,19,39,13,10,31,18,14,10,16,21,15,31,18,18,8,17,39,16,16,17,50,30,15,15,30,4,28,29,39,17,15,36,13,7,7,16,21,13,28,11,21,29,21,33,15,29,24,23,29,30,13,26,47,14,16,30,28,29,16,44,12,25,35,49,26,17,34,12,22,17,12,34,39,16,25,19,45,15,23,10,13,15,15,14,29,37,35,19,28,24,13
"Sbj54_Time2",2,54,18,12,25,26,13,13,12,18,13,37,23,17,21,8,17,40,22,17,29,26,33,26,18,15,27,14,31,48,25,10,29,24,14,19,28,33,41,21,17,28,15,17,13,23,11,11,29,16,33,33,26,10,15,11,31,45,41,19,15,10,30,14,32,19,13,13,19,20,25,26,12,9,21,19,14,17,15,20,28,27,20,29,11,33,22,26,35,18,9,41,24,16,27,16,28,12,42,36,17,10
"Sbj55_Time2",2,55,45,54,14,31,13,8,76,19,34,24,22,18,9,67,12,53,38,15,14,16,23,24,17,25,12,10,10,21,49,31,58,18,28,15,21,28,38,8,31,35,21,19,11,12,12,35,38,7,10,12,40,12,22,31,18,16,25,17,15,24,51,27,9,46,50,36,16,9,16,30,14,22,19,39,20,12,18,27,45,28,12,27,14,12,13,47,18,15,51,30,25,15,15,60,18,40,25,27,42,77
"Sbj56_Time2",2,56,15,14,20,25,16,23,21,8,26,18,16,16,13,12,26,20,43,22,35,17,19,23,46,13,23,12,17,20,21,30,24,27,16,30,20,45,32,30,35,12,32,28,21,16,23,28,13,13,25,12,13,23,21,21,20,20,12,12,25,16,25,17,29,31,21,13,19,18,10,16,26,19,21,9,47,23,23,28,15,22,29,22,21,10,13,47,31,15,25,11,27,15,24,23,30,17,34,13,15,18
"Sbj57_Time2",2,57,12,14,29,36,21,11,59,44,11,16,90,15,77,7,72,10,81,17,13,11,15,19,12,12,22,24,53,72,17,45,70,14,31,11,28,10,61,10,47,39,20,19,13,69,60,11,21,14,32,50,87,46,13,11,13,8,19,22,64,10,33,12,26,70,14,51,96,102,6,51,78,16,30,109,48,15,38,10,50,11,69,14,11,16,60,27,18,47,45,14,13,69,75,11,48,48,13,15,17,77
"Sbj58_Time2",2,58,19,38,17,12,16,25,26,15,12,35,10,31,12,43,27,30,15,19,25,21,24,41,30,25,34,10,23,10,15,17,22,19,18,26,25,16,48,18,12,18,25,39,21,24,36,16,17,16,13,35,36,12,33,41,36,48,20,16,16,24,15,10,17,14,40,45,21,28,32,17,29,10,30,27,31,43,15,30,10,14,40,15,46,18,13,27,37,56,15,20,20,40,39,29,29,37,21,14,24,9
"Sbj59_Time2",2,59,17,11,27,14,29,14,17,14,26,31,30,35,35,16,15,29,16,27,23,30,22,27,19,26,29,23,38,13,17,19,10,13,14,36,22,22,33,23,14,12,10,14,13,13,13,9,26,30,24,16,24,30,35,31,16,16,15,25,13,12,16,20,23,18,42,19,19,11,16,36,13,24,33,11,33,16,28,14,28,35,32,22,24,25,22,33,15,43,17,34,14,43,22,22,19,18,38,13,28,13
"Sbj6_Time2",2,6,41,24,35,47,13,20,40,37,15,14,44,40,15,35,45,12,30,35,27,13,34,17,19,40,20,39,19,23,31,19,26,20,15,37,32,41,24,46,30,10,42,11,23,15,13,42,24,11,15,33,33,33,15,16,26,17,17,40,27,22,17,40,35,29,15,21,31,22,14,20,15,40,12,15,39,27,10,16,28,25,15,17,19,27,24,32,40,15,12,22,14,20,16,15,43,26,42,33,17,26
"Sbj60_Time2",2,60,22,17,32,23,14,32,31,47,26,28,13,39,12,31,23,26,28,13,28,14,12,11,16,36,24,48,15,24,58,14,16,47,29,27,20,26,45,25,35,16,7,12,26,30,25,26,6,25,16,33,11,13,40,32,11,10,28,22,14,24,15,15,11,12,19,19,33,20,9,27,17,25,48,18,18,34,11,17,43,18,15,10,25,27,15,58,13,9,12,32,18,25,16,15,40,23,30,54,13,37
"Sbj61_Time2",2,61,30,15,37,41,51,35,12,32,13,12,19,13,11,19,22,22,27,16,62,21,34,18,20,20,39,14,12,33,14,20,23,13,11,36,20,36,18,10,14,30,15,12,20,12,20,10,14,39,27,37,12,17,24,32,37,44,19,39,24,11,22,13,36,14,40,40,50,18,22,21,13,30,15,26,59,37,35,18,15,11,19,37,30,17,20,41,23,20,14,29,24,30,46,20,28,17,31,17,12,16
"Sbj62_Time2",2,62,13,29,23,14,12,27,40,22,25,17,42,14,29,17,31,33,16,23,32,27,46,12,10,34,33,14,16,39,38,21,53,25,20,28,17,19,14,39,20,21,29,50,12,15,53,18,14,48,33,21,10,14,20,25,18,29,27,16,30,52,14,16,14,13,14,41,11,17,23,24,25,21,21,18,15,23,22,23,24,24,19,13,14,27,26,33,31,13,26,28,27,16,11,31,19,12,20,18,12,15
"Sbj63_Time2",2,63,17,17,45,18,16,54,15,19,50,14,99,34,9,13,33,32,16,14,8,98,11,58,11,25,11,19,79,70,12,11,19,14,24,52,7,10,10,15,11,23,14,86,9,67,13,9,38,84,93,98,14,20,20,9,13,36,78,14,13,72,45,36,43,13,16,43,25,17,12,72,24,45,138,12,12,29,24,16,50,110,93,17,37,106,85,29,107,82,38,42,20,22,13,34,67,17,11,13,18,34
